t_ms (ms),ax (G),ay (G),az (G),gx (°/s),gy (°/s),gz (°/s),temp_c (°C),lap,gps_lat (°),gps_lon (°),gps_speed_kmh (km/h),gps_alt_m (m),gps_sats,gps_hdop,kf_x (m),kf_y (m),kf_vel (m/s),kf_heading (rad),raw_ax (G),raw_ay (G),raw_az (G),raw_gx (°/s),raw_gy (°/s),raw_gz (°/s),kf6_x (m),kf6_y (m),kf6_vel (m/s),kf6_heading (rad),kf6_bgz (rad/s)
5286,-0.00013,-0.00014,-0.00006,0.00495,-0.00358,-0.00301,45.9,0,0.0000000,0.0000000,0.00,0.00,0,99.90,-0.00000,-0.00000,0.00063,-0.00002,-0.00219,-0.00236,-0.00092,0.08257,-0.05972,-0.05009,-0.00000,-0.00000,0.00063,-0.00002,0.00000
5306,-0.00007,-0.00012,-0.00003,0.00223,-0.00844,-0.00262,45.9,0,0.0000000,0.0000000,0.00,0.00,0,99.90,-0.00001,-0.00001,0.00049,-0.00002,0.00093,0.00019,0.00040,-0.04051,-0.08451,0.00344,-0.00001,-0.00001,0.00049,-0.00002,0.00000
5326,-0.00020,-0.00009,-0.00005,0.00332,-0.01300,-0.00219,45.9,0,0.0000000,0.0000000,0.00,0.00,0,99.90,-0.00002,-0.00002,0.00078,-0.00001,-0.00229,0.00037,-0.00033,0.02052,-0.08451,0.00456,-0.00002,-0.00002,0.00078,-0.00001,0.00000
5346,-0.00008,-0.00001,-0.00013,-0.00654,-0.01915,-0.00682,45.9,0,0.0000000,0.0000000,0.00,0.00,0,99.90,-0.00003,-0.00003,0.00037,-0.00004,0.00174,0.00122,-0.00146,-0.16108,-0.11550,-0.07935,-0.00003,-0.00003,0.00037,-0.00004,0.00000
5366,-0.00021,-0.00006,-0.00023,-0.01584,-0.02159,-0.00968,45.9,0,0.0000000,0.0000000,0.00,0.00,0,99.90,-0.00004,-0.00003,0.00084,-0.00006,-0.00223,-0.00074,-0.00176,-0.16153,-0.05972,-0.05457,-0.00004,-0.00003,0.00084,-0.00006,0.00000
5386,-0.00015,-0.00004,-0.00028,-0.02098,-0.02536,-0.00896,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,0.00000,0.00000,0.00000,0.00000,0.00091,0.00019,-0.00113,-0.10153,-0.08451,0.00232,0.00000,0.00000,0.00000,0.00000,0.00000
5406,-0.00021,0.00008,-0.00022,-0.02575,-0.02742,-0.01163,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00000,0.00000,0.00045,-0.00002,-0.00118,0.00199,0.00082,-0.10051,-0.05972,-0.05345,-0.00000,0.00000,0.00045,-0.00002,0.00000
5426,-0.00014,-0.00004,-0.00007,-0.03033,-0.02750,-0.00931,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00000,0.00000,0.00006,-0.00001,0.00087,-0.00194,0.00226,-0.10199,-0.02874,0.02710,-0.00000,0.00000,0.00006,-0.00001,-0.00000
5446,-0.00021,0.00008,0.00007,-0.03090,-0.02609,-0.01040,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00001,0.00001,0.00050,-0.00002,-0.00123,0.00197,0.00224,-0.03994,-0.00395,-0.02754,-0.00001,0.00001,0.00050,-0.00002,-0.00000
5466,-0.00015,0.00004,0.00011,-0.03136,-0.02662,-0.01626,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00001,0.00001,0.00033,-0.00006,0.00074,-0.00055,0.00080,-0.03846,-0.03493,-0.10809,-0.00001,0.00001,0.00033,-0.00006,-0.00000
5486,-0.00029,-0.00009,0.00017,-0.02818,-0.02861,-0.01836,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00002,0.00002,0.00067,-0.00007,-0.00251,-0.00222,0.00097,0.02154,-0.05972,-0.05121,-0.00002,0.00002,0.00067,-0.00007,-0.00000
5506,-0.00034,-0.00011,0.00020,-0.02892,-0.03196,-0.01705,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00003,0.00001,0.00089,-0.00007,-0.00105,-0.00040,0.00081,-0.04051,-0.08451,0.00344,-0.00003,0.00001,0.00089,-0.00007,-0.00000
5526,-0.00044,0.00002,0.00010,-0.02229,-0.03511,-0.01569,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00003,0.00001,0.00120,-0.00007,-0.00209,0.00210,-0.00145,0.08154,-0.08451,0.00568,-0.00003,0.00001,0.00120,-0.00007,-0.00000
5546,-0.00037,-0.00003,-0.00002,-0.01603,-0.03324,-0.01626,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00005,0.00001,0.00105,-0.00008,0.00072,-0.00075,-0.00200,0.08211,-0.00395,-0.02530,-0.00005,0.00001,0.00105,-0.00008,-0.00000
5566,-0.00047,-0.00001,-0.00013,-0.01011,-0.03483,-0.01829,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00008,0.00001,0.00144,-0.00010,-0.00197,0.00027,-0.00178,0.08257,-0.05972,-0.05009,-0.00008,0.00001,0.00144,-0.00010,-0.00000
5586,-0.00037,-0.00002,-0.00014,-0.00821,-0.03633,-0.02027,45.9,0,45.4512440,8.6521343,0.00,144.50,36,0.40,-0.00010,0.00001,0.00120,-0.00012,0.00119,-0.00020,-0.00038,0.02154,-0.05972,-0.05121,-0.00010,0.00001,0.00120,-0.00012,-0.00000
