t_sec,ax,ay,az,gx,gy,gz,lap
0.000,0.0,0.0,0.0,0.15,-0.13,0.07,0.0
0.100,0.0,0.0,0.0,0.33,-0.14,0.12,0.0
0.205,0.0,0.0,0.0,0.3,0.48,0.11,0.0
0.309,0.0,0.0,0.0,0.01,1.79,0.14,0.0
0.417,0.0,0.0,0.0,-0.38,3.5,0.17,0.0
0.517,0.0,0.0,0.0,-0.48,4.25,0.22,0.0
0.624,0.0,0.0,0.0,-0.31,4.14,0.33,0.0
0.727,0.0,0.0,0.0,0.03,3.32,0.35,0.0
0.834,0.0,0.0,0.0,0.27,2.25,0.32,0.0
0.937,0.0,0.0,0.0,0.2,1.75,0.24,0.0
1.156,0.0,0.0,0.0,-0.03,1.5,0.16,0.0
1.160,0.0,0.0,0.0,-0.22,1.08,0.09,0.0
1.250,0.0,0.0,0.0,-0.15,-0.15,0.04,0.0
1.352,0.0,0.0,0.0,0.11,-1.66,-0.04,0.0
1.460,0.0,0.0,0.0,0.32,-3.0,-0.09,0.0
1.563,0.0,0.0,0.0,0.34,-3.68,-0.14,0.0
1.670,0.0,0.0,0.0,0.1,-3.48,-0.23,0.0
1.773,0.0,0.0,0.0,-0.17,-2.79,-0.24,0.0
1.881,0.0,0.0,0.0,-0.28,-2.17,-0.21,0.0
1.984,0.01,0.0,-0.01,-0.2,-1.22,-2.11,0.0
2.194,0.01,0.0,0.0,-5.09,-0.2,-12.25,0.0
2.301,0.01,0.0,0.0,-3.2,0.97,-11.98,0.0
2.403,0.01,0.01,0.0,-2.8,0.08,-8.14,0.0
2.509,0.01,0.0,0.0,-1.66,-0.69,-4.71,0.0
2.612,0.01,0.0,0.0,-0.83,-1.23,-1.22,0.0
2.718,0.0,0.0,-0.01,-2.03,-0.81,-6.24,0.0
2.820,0.0,-0.01,0.0,-2.29,0.63,-10.37,0.0
2.928,0.0,0.0,0.0,0.28,3.68,-4.09,0.0
3.030,0.0,0.0,0.0,0.89,1.57,7.03,0.0
3.137,0.0,0.0,0.0,2.67,-1.68,10.34,0.0
3.240,0.0,-0.01,0.0,4.26,-3.52,7.9,0.0
3.346,0.0,-0.01,0.0,4.64,-3.62,8.3,0.0
3.449,-0.01,-0.01,0.0,3.09,-1.02,9.32,0.0
3.560,0.0,-0.01,0.0,2.39,1.31,6.79,0.0
3.659,0.0,-0.01,0.0,1.12,4.12,6.43,0.0
3.766,0.0,-0.01,0.0,1.02,4.63,5.26,0.0
3.868,0.0,0.0,0.0,1.12,1.93,3.55,0.0
3.975,0.0,0.0,0.0,0.5,-0.21,2.51,0.0
4.086,0.0,0.0,0.0,0.2,-0.67,0.77,0.0
4.186,0.0,0.0,0.0,-0.35,0.3,0.86,0.0
4.286,0.0,0.0,0.0,-1.14,2.79,0.87,0.0
4.396,0.01,0.0,0.0,-1.63,4.51,1.96,0.0
