t_ms (ms),ax (G),ay (G),az (G),gx (°/s),gy (°/s),gz (°/s),temp_c (°C),lap,gps_lat (°),gps_lon (°),gps_speed_kmh (km/h),gps_alt_m (m),gps_sats,gps_hdop,kf_x (m),kf_y (m),kf_vel (m/s),kf_heading (rad),raw_ax (G),raw_ay (G),raw_az (G),raw_gx (°/s),raw_gy (°/s),raw_gz (°/s),kf6_x (m),kf6_y (m),kf6_vel (m/s),kf6_heading (rad),kf6_bgz (rad/s)
12265,0.00013,0.00014,0.00002,-0.00202,-0.00363,-0.00163,41.4,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00000,0.00000,0.00063,-0.00001,0.00224,0.00230,0.00031,-0.03361,-0.06054,-0.02720,0.00000,0.00000,0.00063,-0.00001,0.00000
12285,0.00009,0.00010,0.00003,-0.00757,-0.00367,-0.00173,41.4,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00001,0.00001,0.00049,-0.00001,-0.00056,-0.00044,0.00021,-0.09461,-0.00432,-0.00333,0.00001,0.00001,0.00049,-0.00001,0.00000
12305,0.00021,-0.00007,0.00003,-0.00913,-0.00371,-0.00184,41.4,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00002,0.00001,0.00076,-0.00001,0.00206,-0.00277,0.00005,-0.03357,-0.00432,-0.00343,0.00002,0.00001,0.00076,-0.00001,0.00000
12325,0.00021,-0.00008,0.00009,-0.01060,-0.00375,-0.00193,41.4,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00004,0.00001,0.00079,-0.00001,0.00013,-0.00019,0.00107,-0.03357,-0.00432,-0.00343,0.00004,0.00001,0.00079,-0.00001,0.00000
12345,0.00033,-0.00022,0.00010,-0.01564,-0.00716,-0.00344,41.4,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00006,0.00000,0.00139,-0.00002,0.00220,-0.00255,0.00027,-0.09465,-0.06054,-0.02710,0.00006,0.00000,0.00139,-0.00002,0.00000
12365,0.00034,-0.00022,0.00013,-0.01672,-0.01036,-0.00487,41.4,0,0.0000000,0.0000000,0.00,0.00,0,99.90,0.00008,-0.00001,0.00150,-0.00003,0.00051,-0.00023,0.00055,-0.03361,-0.06054,-0.02720,0.00008,-0.00001,0.00150,-0.00003,0.00000
12385,0.00036,-0.00012,0.00016,-0.01407,-0.01000,-0.00479,41.4,0,45.4184990,8.6105033,0.09,0.00,0,99.90,0.00000,0.00000,0.00000,0.00000,0.00069,0.00150,0.00056,0.02746,-0.00432,-0.00353,0.00000,0.00000,0.00000,0.00000,0.00000
12405,0.00033,-0.00017,0.00017,-0.02257,-0.01161,-0.00949,41.4,0,45.4184990,8.6105033,0.09,0.00,0,99.90,-0.00000,-0.00000,0.00020,-0.00003,-0.00009,-0.00101,0.00036,-0.15577,-0.03678,-0.08322,-0.00000,-0.00000,0.00020,-0.00003,0.00000
12425,0.00028,-0.00010,0.00017,-0.01957,-0.01117,-0.00913,41.4,0,45.4184990,8.6105033,0.09,0.00,0,99.90,-0.00000,-0.00000,0.00011,-0.00003,-0.00048,0.00107,0.00024,0.02746,-0.00432,-0.00353,-0.00000,-0.00000,0.00011,-0.00003,0.00000
12445,0.00028,-0.00011,0.00018,-0.02041,-0.01076,-0.00879,41.4,0,45.4184997,8.6105037,0.07,142.70,15,1.00,0.01348,0.03837,0.04591,-0.00003,0.00019,-0.00034,0.00033,-0.03357,-0.00432,-0.00343,0.01348,0.03837,0.04591,-0.00003,0.00000
12465,0.00027,0.00006,0.00023,-0.01754,-0.01374,-0.00990,41.4,0,45.4184997,8.6105037,0.07,142.70,15,1.00,0.01379,0.03924,0.04642,-0.00004,0.00011,0.00274,0.00104,0.02742,-0.06054,-0.02729,0.01379,0.03924,0.04642,-0.00004,0.00000
12485,0.00023,-0.00007,0.00023,-0.02217,-0.01513,-0.01431,41.4,0,45.4184997,8.6105037,0.07,142.70,15,1.00,0.01409,0.04011,0.04602,-0.00007,-0.00042,-0.00205,0.00011,-0.09474,-0.03678,-0.08332,0.01409,0.04011,0.04602,-0.00007,0.00000
12505,0.00011,0.00011,0.00019,-0.02652,-0.02122,-0.01650,41.4,0,45.4184997,8.6105037,0.07,142.70,15,1.00,0.01439,0.04099,0.04645,-0.00009,-0.00172,0.00292,-0.00031,-0.09469,-0.11676,-0.05086,0.01439,0.04099,0.04645,-0.00009,0.00000
12525,0.00011,0.00010,0.00016,-0.02328,-0.02021,-0.01572,41.4,0,45.4184997,8.6105037,0.07,142.70,15,1.00,0.01469,0.04187,0.04643,-0.00009,0.00012,-0.00013,-0.00041,0.02746,-0.00432,-0.00353,0.01469,0.04187,0.04643,-0.00009,0.00000
12545,0.00019,0.00023,0.00010,-0.01658,-0.01588,-0.01357,41.4,0,45.4184998,8.6105037,0.04,142.73,15,1.00,0.02003,0.06546,0.11953,-0.00008,0.00141,0.00231,-0.00078,0.08853,0.05189,0.02014,0.02003,0.06546,0.11953,-0.00008,0.00000
12567,0.00012,0.00018,0.00013,-0.02126,-0.01377,-0.01633,41.4,0,45.4184998,8.6105037,0.04,142.73,15,1.00,0.02070,0.06797,0.11936,-0.00011,-0.00095,-0.00059,0.00056,-0.09470,0.01944,-0.05955,0.02070,0.06797,0.11936,-0.00011,0.00000
12585,0.00026,0.00017,0.00014,-0.02934,-0.01852,-0.02177,41.4,0,45.4184998,8.6105037,0.04,142.73,15,1.00,0.02126,0.07007,0.11946,-0.00014,0.00240,-0.00004,0.00030,-0.15581,-0.09300,-0.10698,0.02126,0.07007,0.11946,-0.00014,0.00000
12605,0.00018,0.00015,0.00015,-0.02960,-0.01961,-0.02547,41.4,0,45.4184998,8.6105037,0.04,142.73,15,1.00,0.02188,0.07237,0.11938,-0.00017,-0.00104,-0.00017,0.00027,-0.03370,-0.03678,-0.08341,0.02188,0.07237,0.11938,-0.00017,0.00000
12625,0.00033,0.00019,0.00021,-0.02618,-0.01727,-0.02752,41.4,0,45.4184998,8.6105037,0.04,142.73,15,1.00,0.02251,0.07469,0.11967,-0.00019,0.00272,0.00083,0.00126,0.02737,0.01944,-0.05975,0.02251,0.07469,0.11967,-0.00019,0.00000
12645,0.00018,0.00023,0.00021,-0.02663,-0.01987,-0.02750,41.4,0,45.4184998,8.6105037,0.02,142.74,15,1.00,0.02453,0.08446,0.14608,-0.00020,-0.00226,0.00084,0.00015,-0.03361,-0.06054,-0.02720,0.02453,0.08446,0.14608,-0.00020,0.00000
12665,0.00017,0.00015,0.00022,-0.03071,-0.02231,-0.02748,41.4,0,45.4184998,8.6105037,0.02,142.74,15,1.00,0.02525,0.08730,0.14587,-0.00021,0.00000,-0.00111,0.00046,-0.09465,-0.06054,-0.02710,0.02525,0.08730,0.14587,-0.00021,0.00000
12685,0.00019,0.00026,0.00019,-0.02722,-0.02460,-0.02747,41.4,0,45.4184998,8.6105037,0.02,142.74,15,1.00,0.02597,0.09013,0.14628,-0.00022,0.00052,0.00201,-0.00037,0.02742,-0.06054,-0.02729,0.02597,0.09013,0.14628,-0.00022,0.00000
